mother,mother_long,father,Y,SCA,trait
M1,VK101A,LI2,52.98333333333333,1.1807127882599602,oil_content
M1,VK101A,LI20,50.766666666666666,-0.3803983228511569,oil_content
M1,VK101A,LI21,50.08333333333333,0.3251572327043988,oil_content
M1,VK101A,LI22,50.05,0.7307127882599502,oil_content
M1,VK101A,LI23,49.95,0.0751572327044058,oil_content
M1,VK101A,LI24,49.86666666666666,-0.7859538784067084,oil_content
M1,VK101A,LI25,49.93333333333334,0.1807127882599672,oil_content
M1,VK101A,LI26,49.83333333333333,-0.2720649895178226,oil_content
M1,VK101A,LI27,49.91666666666666,0.4584905660377316,oil_content
M1,VK101A,LI28,50.13333333333333,-0.0526205450733741,oil_content
M1,VK101A,LI29,42.95,0.447379454926633,oil_content
M1,VK101A,LI3,50.8,-0.4915094339622641,oil_content
M1,VK101A,LI30,39.81666666666666,-1.5359538784067084,oil_content
M1,VK101A,LI31,47.05,-1.363731656184484,oil_content
M1,VK101A,LI32,51.43333333333332,-0.374842767295604,oil_content
M1,VK101A,LI33,50.14999999999999,-0.4692872117400455,oil_content
M1,VK101A,LI34,49.266666666666666,-0.6359538784067098,oil_content
M1,VK101A,LI35,48.23333333333333,-1.080398322851153,oil_content
M1,VK101A,LI36,48.76666666666667,-0.1526205450733684,oil_content
M1,VK101A,LI38,51.33333333333333,-0.5803983228511598,oil_content
M1,VK101A,LI39,50.81666666666667,-0.2081761006289255,oil_content
M1,VK101A,LI4,51.0,-0.3637316561844841,oil_content
M1,VK101A,LI40,52.06666666666666,-0.1137316561844841,oil_content
M1,VK101A,LI41,51.41666666666667,-0.0248427672955955,oil_content
M1,VK101A,LI42,50.73333333333333,-0.6081761006289312,oil_content
M1,VK101A,LI43,50.18333333333334,0.3584905660377444,oil_content
M1,VK101A,LI44,50.28333333333334,-0.3026205450733741,oil_content
M1,VK101A,LI45,52.7,0.7807127882599616,oil_content
M1,VK101A,LI46,52.46666666666667,0.6362683438155159,oil_content
M1,VK101A,LI47,50.64999999999999,0.3973794549266074,oil_content
M1,VK101A,LI48,50.016666666666666,-0.2415094339622641,oil_content
M1,VK101A,LI49,50.25,-1.5026205450733698,oil_content
M1,VK101A,LI5,53.11666666666667,0.1307127882599559,oil_content
M1,VK101A,LI50,48.93333333333334,0.0251572327044087,oil_content
