hybrid,seed_yield,oil_content,seed_weight_1000,oil_yield,plant_height,head_diameter
VA761A_LI29,3.0880520161656406,41.46018466647846,91.84330946121985,1.280312068499186,157.3062067840131,17.246094057765873
VA761A_LI3,2.879051551201332,50.04346624717883,49.26444563321865,1.440777191264317,133.29107684791867,17.602600909438376
VA761A_LI30,3.301582838029465,39.53554286538108,93.95704019656996,1.3052986981652044,169.74065318820223,18.319620307746
VA761A_LI31,3.1079855865235086,47.46692964248397,58.96839128187176,1.4752653316536566,161.75187202611897,18.515899360914
VA761A_LI32,3.2441983173022706,49.62439101629472,63.70827232477824,1.6099136583221323,160.82696224781165,19.05533294921247
VA761A_LI33,3.5504504437095097,48.64654881089848,68.19194358158165,1.7271716081059083,154.01312141949023,18.72018980400724
VA761A_LI34,3.173826773463132,47.69974921519736,69.20076961436243,1.513907411466704,157.6538102391572,17.686720503653234
VA761A_LI35,3.139698084820116,47.71527052004492,58.72819460740013,1.4981154346845875,156.33657609334807,18.251523493381583
VA761A_LI36,2.786028222864616,46.79951353403891,67.80762890242708,1.3038476552216696,145.21326552873748,18.503882276026165
VA761A_LI37,3.5444099678434893,47.59110008126444,54.29256268549104,1.6868236950867077,150.93957507926893,18.52791644580184
VA761A_LI38,2.9581817850462,48.94145360300211,53.79615622491634,1.4477771658208456,152.65929743629752,17.987147625849165
VA761A_LI39,3.3559471208236498,48.61550620120336,66.04618662296858,1.631510680633127,149.05519845401415,18.083284304951864
VA761A_LI4,3.259903554553924,49.91929580839835,61.3063055800621,1.6273208984662657,138.71856939315072,17.5785667396627
VA761A_LI40,3.155403322071769,49.59334840659961,54.59681180648835,1.564870163148471,145.2132655287375,19.098727977974104
VA761A_LI41,3.567967823720969,50.338371039282464,57.01479166283592,1.7960568816668732,150.07971390075463,18.03521596540052
VA761A_LI42,3.1922502248544946,49.53126318720937,50.20921921947354,1.5811618604669626,158.8429799541238,18.52190790335792
VA761A_LI43,3.2798371249117912,48.84832577391676,54.38864135527972,1.602145523630777,155.98897263820396,18.43177976669914
VA761A_LI44,3.27349462525247,48.5999848963558,53.49190710391897,1.590917893455719,169.54550738882307,17.92706220140998
VA761A_LI45,3.5755184185534947,50.22972190534954,68.8004418235764,1.795972958313972,166.3438966177592,17.638652164101888
VA761A_LI46,2.9572757136662973,49.779604064770325,65.35762282281661,1.4721201413666938,152.4031685746124,17.84895114963904
VA761A_LI47,3.557094967162132,48.910410993307,59.688981305286575,1.7397897678612373,163.38011978968862,18.35967725737212
VA761A_LI48,3.405479022925018,47.97913270245343,57.59126368156781,1.6339192995634086,160.70906166068673,18.083284304951864
VA761A_LI49,2.9300935722692047,49.764082759922765,51.13797969409717,1.4581341902472245,141.3164478473855,17.338225041905957
